Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,AcceptedCmpOverall,MntRegularProds,Marital_Status,Education,Kids,TotalPurchases,TotalCampaigns
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,7,2711,0,0,0,1,0,0,0,1,0,0,19,0,19,Together,Graduation,1,4,0
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,7,2429,0,1,0,0,0,0,0,0,1,0,19,0,19,Married,Master,1,8,0
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,6,2160,0,0,1,0,0,0,0,1,0,0,810,0,810,Single,Graduation,0,16,0
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,8,2756,0,1,0,0,0,1,0,0,0,0,72,0,72,Married,2n Cycle,0,10,1
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,7,2560,0,0,0,1,0,0,0,1,0,0,42,0,42,Together,Graduation,1,5,0
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,8,2757,0,1,0,0,0,0,0,0,0,1,1281,0,1281,Married,PhD,2,28,0
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,6,2207,0,0,0,0,1,0,0,1,0,0,493,0,493,Widow,Graduation,1,17,0
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,8,2846,0,1,0,0,0,0,0,0,1,0,1661,0,1661,Married,Master,0,29,0
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,7,2702,0,0,1,0,0,0,0,1,0,0,69,0,69,Single,Graduation,1,7,0
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,6,2181,1,0,0,0,0,0,0,1,0,0,1376,2,1376,Divorced,Graduation,0,21,3
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,7,2541,0,1,0,0,0,0,0,1,0,0,497,0,497,Married,Graduation,2,23,0
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,8,2746,0,0,0,1,0,0,0,0,1,0,1767,1,1767,Together,Master,0,27,2
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,7,2612,1,0,0,0,0,0,0,1,0,0,1053,0,1053,Divorced,Graduation,0,21,1
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,6,2221,0,0,1,0,0,0,0,1,0,0,24,0,24,Single,Graduation,1,6,0
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,6,2277,0,1,0,0,0,0,0,0,0,1,475,0,475,Married,PhD,1,19,0
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,7,2519,0,0,1,0,0,0,0,0,1,0,1358,2,1358,Single,Master,0,21,3
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,8,2819,0,0,0,1,0,0,0,1,0,0,606,0,606,Together,Graduation,2,22,0
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,7,2655,0,0,1,0,0,0,0,1,0,0,715,0,715,Single,Graduation,1,24,0
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,7,2542,0,0,0,0,1,0,0,0,0,1,600,0,600,Widow,PhD,1,19,0
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,6,2364,0,0,0,1,0,0,0,1,0,0,1046,0,1046,Together,Graduation,0,16,0
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,7,2563,0,1,0,0,0,0,0,1,0,0,19,0,19,Married,Graduation,1,5,1
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,6,2208,0,0,0,1,0,0,0,1,0,0,11,0,11,Together,Graduation,2,4,0
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,6,2261,0,0,1,0,0,1,0,0,0,0,1236,2,1236,Single,2n Cycle,1,32,3
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,7,2434,0,0,0,1,0,0,0,1,0,0,544,0,544,Together,Graduation,1,18,0
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,7,2606,0,0,0,1,0,0,0,1,0,0,1489,0,1489,Together,Graduation,3,19,0
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,8,2815,0,1,0,0,0,0,0,0,1,0,1241,0,1241,Married,Master,0,21,0
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,7,2628,0,1,0,0,0,0,0,1,0,0,777,0,777,Married,Graduation,1,30,0
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,7,2609,0,1,0,0,0,0,0,0,0,1,642,1,642,Married,PhD,2,24,1
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,6,2219,0,1,0,0,0,0,0,1,0,0,56,0,56,Married,Graduation,0,8,0
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,7,2716,1,0,0,0,0,0,0,1,0,0,12,0,12,Divorced,Graduation,1,4,0
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,8,2830,0,1,0,0,0,0,0,0,1,0,1872,0,1872,Married,Master,0,19,1
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,8,2784,0,0,1,0,0,0,0,1,0,0,2158,1,2158,Single,Graduation,0,22,2
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,7,2457,0,0,0,1,0,1,0,0,0,0,9,0,9,Together,2n Cycle,0,4,0
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,7,2702,0,0,0,1,0,0,0,1,0,0,641,1,641,Together,Graduation,0,21,2
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,8,2828,0,0,1,0,0,0,0,1,0,0,148,0,148,Single,Graduation,1,12,0
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,7,2530,0,1,0,0,0,0,0,1,0,0,12,0,12,Married,Graduation,1,4,0
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,7,2520,0,1,0,0,0,1,0,0,0,0,56,0,56,Married,2n Cycle,1,9,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,7,2573,0,0,0,1,0,0,0,0,1,0,229,0,229,Together,Master,0,11,0
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,6,2283,1,0,0,0,0,0,0,1,0,0,702,0,702,Divorced,Graduation,0,27,0
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,7,2481,0,1,0,0,0,0,0,1,0,0,53,0,53,Married,Graduation,2,7,0
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,7,2507,0,1,0,0,0,0,0,0,1,0,146,1,146,Married,Master,2,13,1
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,6,2191,0,0,1,0,0,0,0,1,0,0,338,2,338,Single,Graduation,1,17,3
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,6,2207,0,1,0,0,0,0,0,1,0,0,1221,1,1221,Married,Graduation,0,19,1
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,6,2318,0,0,0,1,0,0,0,1,0,0,187,0,187,Together,Graduation,1,10,0
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,6,2257,0,0,1,0,0,0,0,0,1,0,28,0,28,Single,Master,1,5,0
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,6,2195,0,1,0,0,0,0,0,0,0,1,43,0,43,Married,PhD,1,10,0
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,6,2197,0,1,0,0,0,0,0,1,0,0,36,0,36,Married,Graduation,1,6,0
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,8,2743,0,0,0,0,1,0,0,1,0,0,531,1,531,Widow,Graduation,1,22,1
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,7,2603,1,0,0,0,0,0,0,1,0,0,61,0,61,Divorced,Graduation,2,7,0
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,6,2369,0,1,0,0,0,1,0,0,0,0,755,1,755,Married,2n Cycle,0,25,1
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,7,2533,0,1,0,0,0,0,0,0,0,1,399,0,399,Married,PhD,0,16,0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,7,2500,0,0,1,0,0,1,0,0,0,0,62,0,62,Single,2n Cycle,1,7,0
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,6,2250,0,0,1,0,0,0,0,0,0,1,50,0,50,Single,PhD,1,7,0
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,7,2594,0,0,0,1,0,0,0,1,0,0,1058,0,1058,Together,Graduation,1,27,0
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,7,2567,0,1,0,0,0,0,0,0,0,1,1039,0,1039,Married,PhD,0,16,0
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,6,2211,0,1,0,0,0,0,0,1,0,0,1059,0,1059,Married,Graduation,0,20,1
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,6,2360,0,0,0,1,0,0,1,0,0,0,20,0,20,Together,Basic,1,5,0
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,7,2437,0,1,0,0,0,0,0,1,0,0,180,0,180,Married,Graduation,2,13,0
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,7,2671,0,1,0,0,0,0,0,1,0,0,845,0,845,Married,Graduation,2,26,0
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,7,2716,0,0,1,0,0,0,0,1,0,0,118,0,118,Single,Graduation,1,9,0
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,7,2728,0,1,0,0,0,0,0,0,1,0,807,0,807,Married,Master,0,14,0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,7,2398,0,0,0,1,0,0,0,1,0,0,890,0,890,Together,Graduation,1,24,0
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,8,2755,0,0,1,0,0,0,0,0,0,1,1734,1,1734,Single,PhD,0,17,2
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,6,2163,0,0,0,1,0,0,0,0,1,0,548,1,548,Together,Master,1,20,1
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,7,2702,0,0,1,0,0,0,0,1,0,0,708,2,708,Single,Graduation,0,25,3
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,7,2723,0,1,0,0,0,0,0,0,0,1,479,0,479,Married,PhD,1,21,0
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,7,2451,0,0,1,0,0,0,0,1,0,0,87,0,87,Single,Graduation,2,8,0
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,6,2315,0,1,0,0,0,0,0,1,0,0,1691,2,1691,Married,Graduation,0,15,2
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,7,2654,0,1,0,0,0,1,0,0,0,0,457,0,457,Married,2n Cycle,1,20,0
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,7,2512,0,0,0,1,0,1,0,0,0,0,51,0,51,Together,2n Cycle,2,7,0
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,7,2386,0,0,0,1,0,0,0,1,0,0,30,0,30,Together,Graduation,1,7,0
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,7,2533,0,0,0,1,0,0,0,0,1,0,612,0,612,Together,Master,1,22,0
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,6,2284,0,0,1,0,0,0,0,0,1,0,70,0,70,Single,Master,1,9,1
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,7,2457,0,1,0,0,0,0,0,0,1,0,23,0,23,Married,Master,2,6,0
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,7,2592,1,0,0,0,0,0,0,1,0,0,41,0,41,Divorced,Graduation,1,5,0
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,7,2633,0,0,1,0,0,0,0,1,0,0,967,3,967,Single,Graduation,0,27,4
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,7,2655,0,0,0,1,0,1,0,0,0,0,387,0,387,Together,2n Cycle,0,16,0
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,7,2593,0,0,1,0,0,0,0,1,0,0,1707,0,1707,Single,Graduation,0,16,1
54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,6,2180,0,1,0,0,0,0,0,0,1,0,86,0,86,Married,Master,2,8,0
77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,6,2209,0,0,0,1,0,0,0,0,0,1,649,0,649,Together,PhD,2,23,0
62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,7,2431,0,1,0,0,0,0,0,1,0,0,405,0,405,Married,Graduation,1,19,0
61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,7,2635,0,0,1,0,0,0,0,0,1,0,591,0,591,Single,Master,2,23,0
73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,6,2298,0,1,0,0,0,0,0,1,0,0,595,0,595,Married,Graduation,0,19,0
41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,7,2478,0,1,0,0,0,0,0,0,0,1,256,0,256,Married,PhD,2,16,0
62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,7,2628,0,0,0,1,0,0,0,0,0,1,1482,1,1482,Together,PhD,0,23,1
9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,8,2849,1,0,0,0,0,0,1,0,0,0,20,0,20,Divorced,Basic,1,6,0
33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,7,2516,0,1,0,0,0,0,0,0,0,1,90,0,90,Married,PhD,3,9,0
35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,6,2200,0,0,1,0,0,0,0,0,0,1,29,1,29,Single,PhD,2,6,2
36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,7,2495,1,0,0,0,0,0,0,0,0,1,34,0,34,Divorced,PhD,2,7,0
92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,8,2777,0,0,1,0,0,0,0,0,1,0,2057,0,2057,Single,Master,0,22,0
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,7,2386,0,0,0,1,0,0,0,0,1,0,1003,0,1003,Together,Master,1,17,1
86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,7,2595,0,1,0,0,0,0,0,1,0,0,1259,0,1259,Married,Graduation,0,23,0
68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,7,2464,0,0,1,0,0,0,0,0,0,1,838,0,838,Single,PhD,1,25,0
41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,7,2626,0,0,0,1,0,0,0,1,0,0,196,0,196,Together,Graduation,1,12,0
59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,8,2778,0,1,0,0,0,0,0,1,0,0,828,0,828,Married,Graduation,2,15,0
23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,8,2768,0,1,0,0,0,0,0,1,0,0,52,0,52,Married,Graduation,1,6,1
38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,7,2464,0,0,0,1,0,0,0,1,0,0,18,0,18,Together,Graduation,1,4,0
35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,8,2835,0,1,0,0,0,1,0,0,0,0,179,0,179,Married,2n Cycle,3,16,0
